scene,variant,threshold,smooth_sigma,close_iters,open_iters,min_component_voxels,shape,alpha_max,alpha_mean,source_alpha_mean,source_alpha_p95,occupied_voxels,occupied_ratio,raw_reference_recall,raw_reference_precision,raw_reference_iou,shell_voxels,shell_ratio_total,shell_ratio_occupied,interior_ratio_occupied,sdf_inside_abs_p50,sdf_inside_abs_p90,sdf_outside_near_abs_p50,sdf_outside_near_abs_p90,shell_grad_mag_mean,shell_grad_mag_p95,component_count,largest_component_fraction,top5_component_fraction,small_component_fraction,removed_component_voxels
3dfront_1007_00,smooth100_thr001_min256,0.01,1.0,0,0,256,160x120x73,1.0,0.09357252717018127,0.09357251226902008,0.4810086235404016,611852,0.43653824200913244,0.9988422060427938,0.6598801670992331,0.6593758165665011,196562,0.14024115296803652,0.3212574282669665,0.6787425717330335,3.1622776985168457,7.0,6.4031243324279785,16.0,0.06172652915120125,0.16005663797259326,7,0.9920348532344933,0.999985298129432,0.0005145654698799511,315
3dfront_1007_00,smooth100_thr001_close1_min64,0.01,1.0,1,0,64,160x120x73,1.0,0.09357252717018127,0.09357251226902008,0.4810086235404016,561142,0.4003581621004566,0.8779665377755018,0.6324406300009623,0.5813373302537389,163714,0.1168050799086758,0.29175146397881463,0.7082485360211854,2.8284270763397217,5.385164737701416,6.0,16.0,0.06025191396474838,0.16164321601390844,4,0.9923858094153662,1.0,8.375075063837674e-05,47
3dfront_0005_02,raw_thr001,0.01,0.0,0,0,0,160x113x100,1.0,0.0971728190779686,0.0971728190779686,0.6237683027982706,678533,0.37529480088495576,1.0,1.0,1.0,431069,0.23842311946902656,0.6352955567378448,0.36470444326215523,1.4142135381698608,3.7416574954986572,3.7416574954986572,15.264337539672852,0.17994628846645355,0.5004661679267883,226,0.9755575631546292,0.9992100605276383,0.0,0
3dfront_0005_02,smooth075_thr001,0.01,0.75,0,0,0,160x113x100,1.0,0.0971728190779686,0.09717275947332382,0.5036836057901377,872888,0.48279203539823007,0.9961903105670615,0.7743811348076729,0.7720946277041096,316407,0.17500387168141593,0.3624829302270165,0.6375170697729835,3.0,7.8102498054504395,5.0,16.0,0.06697762757539749,0.18833673745393753,48,0.9995440423055421,0.9997571280622486,0.0,0
3dfront_0005_02,smooth100_thr001,0.01,1.0,0,0,0,160x113x100,1.0,0.0971728190779686,0.097172811627388,0.47716819792985743,928060,0.5133075221238939,0.9959839830929372,0.7281942977824709,0.7260624096864474,279304,0.15448230088495576,0.3009546796543327,0.6990453203456672,3.464101552963257,8.602325439453125,5.385164737701416,16.0,0.04746249318122864,0.1308552362024784,19,0.9997079930176929,0.9998900933129323,0.0,0
3dfront_0005_02,smooth100_thr002,0.02,1.0,0,0,0,160x113x100,1.0,0.0971728190779686,0.097172811627388,0.47716819792985743,845572,0.46768362831858407,0.9806376403211045,0.7869170218502978,0.7748774324277113,292587,0.161829092920354,0.3460225740682047,0.6539774259317953,3.0,8.0,5.196152210235596,16.0,0.05705075338482857,0.14075190871953966,26,0.999412232193119,0.9998297010780868,0.0,0
3dfront_0005_02,smooth100_thr001_min64,0.01,1.0,0,0,64,160x113x100,1.0,0.0971728190779686,0.097172811627388,0.47716819792985743,927871,0.5132029867256637,0.9957776556188129,0.7281917421710561,0.7259502157432398,279115,0.15437776548672566,0.3008122896394003,0.6991877103605997,3.464101552963257,8.602325439453125,5.385164737701416,16.0,0.0474899560213089,0.13088259100914,19,0.9997079930176929,0.9998900933129323,0.00020365062603710967,189
3dfront_0005_02,smooth100_thr001_min256,0.01,1.0,0,0,256,160x113x100,1.0,0.0971728190779686,0.097172811627388,0.47716819792985743,927789,0.5131576327433628,0.9956907033261463,0.728192509288211,0.7259047633373553,279036,0.15433407079646017,0.3007537274100038,0.6992462725899962,3.464101552963257,8.602325439453125,5.385164737701416,16.0,0.04750138148665428,0.13089494407176971,19,0.9997079930176929,0.9998900933129323,0.0002920069823071784,271
3dfront_0005_02,smooth100_thr001_close1_min64,0.01,1.0,1,0,64,160x113x100,1.0,0.0971728190779686,0.097172811627388,0.47716819792985743,880980,0.48726769911504425,0.9026208010516806,0.6952007991100819,0.6466973934987936,225077,0.12448949115044247,0.2554848010170492,0.7445151989829508,3.0,6.082762718200684,5.0,16.0,0.0471225380897522,0.13674131333827969,11,0.9998978514760462,0.9999818402624082,0.00010214852395382886,90
3dfront_0131_00,raw_thr001,0.01,0.0,0,0,0,151x160x121,1.0,0.08379179239273071,0.08379179239273071,0.5519749164581293,851513,0.2912788708882929,1.0,1.0,1.0,489437,0.16742276011165236,0.5747851177844613,0.4252148822155387,1.7320507764816284,3.7416574954986572,7.211102485656738,16.0,0.152995765209198,0.48102952837944,982,0.9938274577135052,0.996843266045263,0.0,0
3dfront_0131_00,smooth075_thr001,0.01,0.75,0,0,0,151x160x121,1.0,0.08379179239273071,0.08379178494215012,0.5020987361669538,1030793,0.3526055634612227,0.9967434437289859,0.823385490588314,0.8211763931863084,294400,0.10070603688905916,0.28560535432429207,0.714394645675708,4.0,8.602325439453125,8.9442720413208,16.0,0.0666705071926117,0.20227573141455646,235,0.9925009191952215,0.9981228044815982,0.0,0
3dfront_0131_00,smooth100_thr001,0.01,1.0,0,0,0,151x160x121,1.0,0.08379179239273071,0.08379174768924713,0.48645529299974444,1076544,0.36825570576323136,0.995786323872918,0.7876361765055585,0.7850197938770447,269426,0.09216312736029773,0.2502693805362345,0.7497306194637655,4.4721360206604,10.24695110321045,9.433980941772461,16.0,0.04948311299085617,0.1394597440958023,75,0.9922641341180667,0.9987450582605077,0.0,0
3dfront_0131_00,smooth100_thr002,0.02,1.0,0,0,0,151x160x121,1.0,0.08379179239273071,0.08379174768924713,0.48645529299974444,1007017,0.3444724563515954,0.9869502873121139,0.8345449977507827,0.8254366588123901,275859,0.0943636774122927,0.2739367855756159,0.7260632144243842,4.0,9.0,10.0,16.0,0.058910172432661057,0.1570826172828674,48,0.9949544049405323,0.999419076341313,0.0,0
3dfront_0131_00,smooth100_thr001_min64,0.01,1.0,0,0,64,151x160x121,1.0,0.08379179239273071,0.08379174768924713,0.48645529299974444,1075933,0.3680466996880302,0.9953694189049375,0.7877535125328435,0.7848771525619608,268817,0.09195480542936894,0.24984548294364053,0.7501545170563595,4.4721360206604,10.24695110321045,10.049875259399414,16.0,0.049574244767427444,0.1395549088716505,75,0.9922641341180667,0.9987450582605077,0.0005675569228940015,611
3dfront_0131_00,smooth100_thr001_min256,0.01,1.0,0,0,256,151x160x121,1.0,0.08379179239273071,0.08379174768924713,0.48645529299974444,1075193,0.3677935663072629,0.9950100585663402,0.7880110826614385,0.784909240144445,268100,0.09170953970773357,0.24935058170951635,0.7506494182904837,4.4721360206604,10.24695110321045,10.72380542755127,16.0,0.04967060312628746,0.13968387395143508,75,0.9922641341180667,0.9987450582605077,0.0012549417394923012,1351
3dfront_0131_00,smooth100_thr001_close1_min64,0.01,1.0,1,0,64,151x160x121,1.0,0.08379179239273071,0.08379174768924713,0.48645529299974444,995630,0.340577280937004,0.8958911960240185,0.7662113435714071,0.703566421957428,237854,0.08136322587707295,0.2388979841909143,0.7611020158090858,3.0,7.0,9.433980941772461,16.0,0.049443405121564865,0.14278212189674375,48,0.9914005419716805,0.9989628441163743,0.00036446039279392525,363
3dfront_1003_01,raw_thr001,0.01,0.0,0,0,0,160x158x97,1.0,0.0683455541729927,0.0683455541729927,0.46985361576080176,588833,0.24012829505415634,1.0,1.0,1.0,364735,0.14874029427117316,0.6194201072290446,0.3805798927709554,1.7320507764816284,3.7416574954986572,6.557438373565674,16.0,0.16162386536598206,0.4788028478622436,480,0.9929572561320442,0.9969023475246802,0.0,0
3dfront_1003_01,smooth075_thr001,0.01,0.75,0,0,0,160x158x97,1.0,0.0683455541729927,0.0683455690741539,0.43789838105440126,767056,0.31280829962155815,0.9983238031835852,0.7663664712876244,0.7653816257683489,287100,0.11708045152029231,0.3742881875638806,0.6257118124361194,3.0,7.0,7.681145668029785,16.0,0.06637931615114212,0.1888238444924354,142,0.9930344068751173,0.9978371852902526,0.0,0
